Message,Payload,Attachment,Pin,Issuer,Date
Hello||||Client|Wed Aug 18 2021 15:09:04
Hello||||Client|Wed Aug 18 2021 15:10:15
Hello||||Client|Wed Aug 18 2021 15:10:54
Hello||||Client|Wed Aug 18 2021 15:11:24
Hello||||Client|Wed Aug 18 2021 15:11:59
|Mes comptes|||Client|Wed Aug 18 2021 15:13:16
|Envoi d'argent|||Client|Wed Aug 18 2021 15:13:27
|Vers un compte tiers|||Client|Wed Aug 18 2021 15:13:40
|||xxxxxx|Client|Wed Aug 18 2021 15:14:20
Code oublié||||Client|Wed Aug 18 2021 15:14:46
|||xxxx|Client|Wed Aug 18 2021 15:15:02
Code oublié||||Client|Wed Aug 18 2021 15:15:20
0||||Client|Wed Aug 18 2021 15:16:44
|Mes comptes|||Client|Wed Aug 18 2021 15:17:03
|Envoi d'argent|||Client|Wed Aug 18 2021 15:17:11
0||||Client|Wed Aug 18 2021 15:17:46
|Mes comptes|||Client|Wed Aug 18 2021 15:18:03
|Consultation|||Client|Wed Aug 18 2021 15:18:39
|Mon solde|||Client|Wed Aug 18 2021 15:18:51
|Code oublié|||Client|Wed Aug 18 2021 15:19:02
|Oui, je valide|||Client|Wed Aug 18 2021 15:19:09
|||xxxx|Client|Wed Aug 18 2021 15:19:30
|||xxxx|Client|Wed Aug 18 2021 15:19:43
Hello||||Client|Wed Aug 18 2021 15:20:37
|Mes comptes|||Client|Wed Aug 18 2021 15:21:10
|Envoi d'argent|||Client|Wed Aug 18 2021 15:21:19
|Vers un compte tiers|||Client|Wed Aug 18 2021 15:21:32
|||xxxx|Client|Wed Aug 18 2021 15:23:13
0||||Client|Wed Aug 18 2021 15:24:13
|Mes comptes|||Client|Wed Aug 18 2021 15:24:31
|Envoi d'argent|||Client|Wed Aug 18 2021 15:24:46
|Vers un compte tiers|||Client|Wed Aug 18 2021 15:24:58
|||xxxx|Client|Wed Aug 18 2021 15:25:12
1||||Client|Wed Aug 18 2021 15:25:55
Autre compte||||Client|Wed Aug 18 2021 15:26:21
ABM||||Client|Wed Aug 18 2021 15:26:31
00011000142110055840878||||Client|Wed Aug 18 2021 15:27:36
Nom et prenom test vibee||||Client|Wed Aug 18 2021 15:27:55
3000||||Client|Wed Aug 18 2021 15:28:21
Motif test||||Client|Wed Aug 18 2021 15:28:33
|||xxxx|Client|Wed Aug 18 2021 15:29:04
|Enregistrer|||Client|Wed Aug 18 2021 15:29:41
Favoris test 1||||Client|Wed Aug 18 2021 15:29:48
|VALIDER|||Client|Wed Aug 18 2021 15:30:01
VALIDER||||Client|Wed Aug 18 2021 15:30:22
|Mes comptes|||Client|Wed Aug 18 2021 15:30:47
|Envoi d'argent|||Client|Wed Aug 18 2021 15:31:02
|Gérer liste favoris|||Client|Wed Aug 18 2021 15:31:26
|Suppression|||Client|Wed Aug 18 2021 15:31:46
Favoris test 1||||Client|Wed Aug 18 2021 15:31:56
|ANNULER|||Client|Wed Aug 18 2021 15:32:05
|Mes comptes|||Client|Wed Aug 18 2021 15:32:47
|Envoi d'argent|||Client|Wed Aug 18 2021 15:32:55
|Vers mon compte|||Client|Wed Aug 18 2021 15:33:06
|||xxxx|Client|Wed Aug 18 2021 15:33:58
1||||Client|Wed Aug 18 2021 15:35:04
1||||Client|Wed Aug 18 2021 15:35:27
500||||Client|Wed Aug 18 2021 15:35:36
Motif||||Client|Wed Aug 18 2021 15:35:53
|||xxxx|Client|Wed Aug 18 2021 15:36:18
|Mes comptes|||Client|Wed Aug 18 2021 15:36:58
|Consultation|||Client|Wed Aug 18 2021 15:37:09
|Mon solde|||Client|Wed Aug 18 2021 15:37:20
|||xxxx|Client|Wed Aug 18 2021 15:37:42
